epoch,train loss,valid loss
0,1.1559180571482732,1.078406572341919
1,1.129123751933758,1.0606364756822586
2,1.1039673181680532,1.0416649878025055
3,1.0739781398039598,1.0353099405765533
4,1.0909074544906616,1.024824783205986
5,1.0640763961351836,1.0250915735960007
6,1.0368083715438843,1.0194642394781113
7,1.0430639523726244,1.0240983366966248
8,1.035372073833759,1.0260032266378403
9,1.0176571882688081,1.0298307687044144
10,1.00078788628945,1.0281373113393784
11,0.9960946990893438,1.025926724076271
12,0.9794175303899325,1.0251460820436478
13,0.9862524775358347,1.0235938280820847
14,0.9688622126212487,1.0251137763261795
15,0.9656256574850816,1.0273408442735672
16,0.9465104754154499,1.0277139693498611
17,0.9399193387765151,1.0280236601829529
18,0.9445864925017724,1.023548498749733
19,0.9408722749123206,1.0216915160417557
20,0.9377193634326642,1.0199817270040512
21,0.9091448141978338,1.0176469683647156
22,0.9120151446415827,1.0164839029312134
23,0.8972520919946524,1.0144281536340714
24,0.8998786394412701,1.0140424370765686
25,0.8942779210897592,1.022828459739685
26,0.8966686404668368,1.0237751603126526
27,0.9039740103941697,1.0267936885356903
28,0.8697753686171311,1.0327401012182236
29,0.8761604978488042,1.033338502049446
30,0.8792549784366901,1.0346950888633728
31,0.8773768544197083,1.034975752234459
32,0.8637162630374615,1.0402129143476486
33,0.8634441173993624,1.0467491298913956
34,0.8790302368310782,1.0460714399814606
35,0.8462507816461416,1.0483561009168625
36,0.8369334431794974,1.0524542331695557
37,0.8267949269368098,1.057175487279892
38,0.8610214866124667,1.0597006678581238
39,0.836783963900346,1.0609765648841858
40,0.8304903277984033,1.06017404794693
41,0.8033324525906489,1.0614556968212128
42,0.804183671107659,1.059056043624878
43,0.8181840089651254,1.060270994901657
44,0.7977710595497718,1.0611326694488525
45,0.8213144036439749,1.0600866079330444
46,0.8028818919108465,1.0686969757080078
47,0.8200178054662851,1.0656024515628815
48,0.784235051045051,1.056301087141037
49,0.783937394618988,1.0536936521530151
50,0.8105694193106431,1.0619879066944122
51,0.7979521705554082,1.0673490464687347
52,0.7747776462481573,1.0667612254619598
53,0.7837495712133554,1.0700518786907196
54,0.7778884080740122,1.0722329914569855
